code,industry
002486,纺织服装
002488,汽车行业
002489,家用轻工
002490,专用设备
002491,通讯行业
002492,交运物流
002494,纺织服装
002495,食品饮料
002497,化工行业
002498,输配电气
002500,金融行业
002501,有色金属
002502,--
002503,--
002508,家电行业
002510,汽车行业
002512,计算机设备
002514,通用设备
002515,食品饮料
002516,汽车零部件
002517,游戏
002518,电源设备
002519,家电行业
002520,机械行业
002521,造纸印刷
002522,塑料制品
002523,专用设备
002524,医疗行业
002525,食品饮料
002526,专用设备
002527,专用设备
002528,软件开发
002529,专用设备
002530,通用设备
002531,风电设备
002532,有色金属
002533,输配电气
002534,电源设备
002535,专用设备
002536,汽车行业
002537,汽车零部件
002538,化肥行业
002539,化肥行业
002541,水泥建材
002542,工程建设
002543,家电行业
002544,通信服务
002545,钢铁行业
002546,输配电气
002547,汽车零部件
002548,农牧饲渔
002549,化工行业
002550,化学制药
002551,医疗器械
002552,通用设备
002553,汽车行业
002554,采掘行业
002555,游戏
002556,化肥行业
002557,食品饮料
002558,游戏
002559,机械行业
002560,输配电气
002561,商业百货
002562,化学制品
002563,纺织服装
002564,专用设备
002565,包装材料
002566,中药
002567,农牧饲渔
002568,酿酒行业
002569,纺织服装
002570,食品饮料
002572,木业家具
002573,环保工程
002574,珠宝首饰
002575,房地产服务
002576,电机
002577,消费电子
002578,有色金属
002579,电子元件
002580,电池
002581,生物制品
002582,食品饮料
002583,通信
002585,塑料制品
002586,工程建设
002587,光学光电子
002588,化肥行业
002589,医药商业
002590,汽车零部件
002591,互联网服务
002592,汽车行业
002593,汽车零部件
002594,汽车制造
002595,专用设备
002596,水泥建材
002597,食品饮料
002598,机械行业
002599,包装材料
002600,电子器件
002601,化学原料
002602,游戏
002603,中药
002604,--
002605,游戏
002606,输配电气
002607,汽车制造
002608,船舶制造
002609,电子信息
002610,--
002611,专用设备
002612,纺织服装
002613,玻璃玻纤
002614,家电行业
002615,家用轻工
002616,电力行业
002618,--
002619,--
002620,装修装饰
002621,--
002622,医疗服务
002623,光伏设备
002624,游戏
002625,汽车制造
002626,食品饮料
002627,旅游酒店
002628,工程建设
002629,采掘行业
002630,电源设备
002631,木业家具
002632,塑料制品
002633,机械行业
002634,纺织服装
002635,消费电子
002636,电子元件
002637,化工行业
002638,光学光电子
002639,机械行业
002640,国际贸易
002641,装修建材
002642,互联网服务
002643,电子化学品
002644,中药
002646,酿酒行业
002647,多元金融
002648,化学原料
002650,食品饮料
002651,专用设备
002652,装修建材
002653,医药制造
002654,文化传媒
002655,消费电子
002658,仪器仪表
002659,文教休闲
002660,消费电子
002661,食品饮料
002662,汽车行业
002664,汽车零部件
002666,化学制品
002667,能源金属
002668,家电行业
002669,化学制品
002670,电器行业
002671,水泥建材
002672,环保工程
002673,金融行业
002674,纺织服装
002675,医药制造
002676,家电行业
002677,家电行业
002678,家用轻工
002679,农牧饲渔
002680,--
002681,消费电子
002682,交运物流
002683,采掘行业
002684,--
002685,机械行业
002686,机械行业
002687,纺织服装
002688,农药兽药
002689,专用设备
002690,专用设备
002691,专用设备
002692,输配电气
002693,生物制品
002694,装修建材
002695,食品饮料
002696,农牧饲渔
002697,商业百货
002698,专用设备
002699,--
002700,燃气
002702,食品饮料
002703,汽车行业
002705,家电行业
002706,输配电气
002707,旅游酒店
002710,医药制造
002712,文化传媒
002713,装修装饰
002714,农林牧渔
002715,汽车行业
002716,贵金属
002717,环保工程
002718,木业家具
002719,食品饮料
002721,珠宝首饰
002722,纺织服装
002724,电子元件
002725,汽车行业
002726,食品饮料
002728,中药
002729,电子元件
002730,专用设备
002731,珠宝首饰
002732,食品饮料
002733,电池
002735,包装材料
002736,金融行业
002737,中药
002738,建筑建材
002739,传媒娱乐
002740,--
002741,电子化学品
002742,水泥建材
002743,水泥建材
002745,光学光电子
002746,农牧饲渔
002747,机械行业
002748,化学原料
002749,农药兽药
002750,--
002751,--
002752,包装材料
002753,橡胶制品
002755,医药制造
002756,钢铁行业
002757,专用设备
002758,综合行业
002759,电池
002760,通用设备
002761,工程建设
002762,纺织服装
002765,光学光电子
002766,汽车零部件
002767,仪器仪表
002768,塑胶制品
002771,互联网服务
002772,农牧饲渔
002773,医药制造
002774,专用设备
002775,工程建设
002776,--
002777,电子信息
002778,环保行业
002779,专用设备
002780,纺织服装
002781,--
002782,电子元件
002787,包装材料
002788,医药商业
002789,装修装饰
002790,装修建材
002791,装修建材
002792,通讯行业
002793,医药制造
002795,机械行业
002796,专用设备
002797,非银金融
002798,装修建材
002799,包装材料
002800,交运物流
002801,电机
002802,化工行业
002803,文化传媒
002805,电池
002806,汽车零部件
002807,银行
002808,光学光电子
002809,化工行业
002810,化工行业
002811,专业服务
002813,汽车零部件
002815,电子元件
002817,医疗器械
002818,商业百货
002819,仪器仪表
002820,食品饮料
002821,医疗行业
002822,装修装饰
002823,电机
002824,有色金属
002825,塑胶制品
002826,中药
002827,化工行业
002828,采掘行业
002829,通信设备
002830,装修装饰
002831,造纸印刷
002832,纺织服装
002833,专用设备
002835,计算机设备
002836,造纸印刷
002837,专用设备
002838,塑胶制品
002839,银行
002840,食品饮料
002841,消费电子
002842,小金属
002845,光学光电子
002846,包装材料
002847,食品饮料
002848,家电行业
002849,仪器仪表
002850,电池
002851,电源设备
002852,食品饮料
002853,木业家具
002855,消费电子
002856,装修装饰
002857,电网设备
002858,文化传媒
002862,家用轻工
002863,汽车行业
002864,中药
002865,光伏设备
002866,消费电子
